,ntacode,ntaname,count
159,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,1
160,SI54,Great Kills,2
161,BK21,Seagate-Coney Island,26
162,QN25,Corona,178
163,BX52,Schuylerville-Throgs Neck-Edgewater Park,48
164,BK26,Gravesend,15
165,BX17,East Tremont,45
166,BX22,North Riverdale-Fieldston-Riverdale,39
167,BX05,Bedford Park-Fordham North,47
168,BX06,Belmont,41
169,BX03,Eastchester-Edenwald-Baychester,13
170,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,8
171,BX75,Crotona Park East,40
172,SI32,Rossville-Woodrow,2
173,SI48,Arden Heights,0
174,QN15,Far Rockaway-Bayswater,9
175,BX09,Soundview-Castle Hill-Clason Point-Harding Park,69
176,BX99,park-cemetery-etc-Bronx,37
177,BK33,Carroll Gardens-Columbia Street-Red Hook,8984
178,MN99,park-cemetery-etc-Manhattan,37692
179,QN05,Rosedale,23
180,QN22,Flushing,47
181,QN62,Queensboro Hill,27
182,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,237043
183,MN21,Gramercy,34862
184,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,12377
185,BK69,Clinton Hill,3122
186,BK72,Williamsburg,292
187,BK99,park-cemetery-etc-Brooklyn,395
188,MN36,Washington Heights South,4758
189,BX26,Highbridge,78
190,BX63,West Concourse,463
191,QN17,Forest Hills,254
192,QN99,park-cemetery-etc-Queens,1102
193,QN03,Springfield Gardens South-Brookville,153
194,QN98,Airport,251914
