no;nombre_del_museo;telefono_fijo;celular;correo_electrãnico;pagina_web;direccion;localidad;upz;nombre_de_la_entidad_administradora_del_equipamiento;ano_inicio;caracter;del_orden;uso_principal
2;CORPORACIÓN CENTRO LOCAL DE DESARROLLO INTEGRAL DE JERUSALEN (CELODIJE);7172890;3102206969;CELODIJE.CORPORACIÓN@GMAIL.COM;N.D;KR 46C 70 59 SUR;CIUDAD BOLÍVAR;JERUSALEM;CORPORACIÓN CENTRO LOCAL DE DESARROLLO INTEGRAL DE JERUSALEN (CELODIJE);1989;PRIVADO;;Centro cultural y artístico
5;CENTRO MUSICAL KENNEDY;4521672;3134507540;CESARDONCEL@FUNDACIONBATUTA.ORG;http://www.fundacionbatuta.org/;KR 72C BIS 06 08 SUR;KENNEDY;AMERICAS;FUNDACIÓN NACIONAL BATUTA;1999;MIXTO;;Centro Cultural y Artístico
5;CASA SANTANDER;2885373;N.D;casadesantander@gmail.com;http://www.santander.gov.co/;KR 5A 35 39;SANTA FE;SAGRADO CORAZON;GOBERNACIÓN DE SANTANDER;1989;PÚBLICO;DEPARTAMENTAL;Centro cultural y artístico
8;CLAN CIUDAD BOLÍVAR MEISSEN;7925024;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;CL 63 17A 38 SUR;CIUDAD BOLÍVAR;LUCERO;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
4;FUNDACIÓN CULTURAL EL CONTRABAJO;8210901- 7280256;3123476644;felcontrabajo@yahoo.com;http://fundacionelcontrabajo.blogspot.com/;KR 61 62 05 SUR;CIUDAD BOLÍVAR;ARBORIZADORA;FUNDACIÓN CULTURAL  EL CONTRABAJO;1996;PRIVADO;;Centro cultural y artístico
5;CENTRO DE DESARROLLO COMUNITARIO ARBORIZADORA ALTA;7172740 EXT 107;3158232804;fundadoronline@gmail.com;http://www.integracionsocial.gov.co/;CL 70 SUR 34 05;CIUDAD BOLÍVAR;JERUSALEM;SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL;1994;PÚBLICO;DISTRITAL- LOCAL;Centro Cultural y Artístico
1;MUSEO DE ARTE CONTEMPORANEO Y TEATRO MINUTO DE DIOS;2525890  EXT 6185- 6343;3167429361;CCULTURAL@UNIMINUTO.EDU SCROMERO@UNIMINUTO.EDU;https://macbogota.wordpress.com/;KR 74 82 A 81;ENGATIVÁ;MINUTO DE DIOS;CORPORACIÓN UNIVERSITARIA MINUTO DE DIOS-UNIMINUTO;1962;PRIVADO;;Centro cultural y artístico
5;CLAN RAFAEL URIBE URIBE SAN JOSÉ;N.D;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 12D 22 80 sur;RAFAEL URIBE URIBE;SAN JOSE;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro Cultural y Artístico
2;CENTRO DE DESAROLLO COMUNITARIO EL PORVENIR;7383883;N.D;MAGUDELO@ESDIS.GOV.CO;http://www.integracionsocial.gov.co/;KR 100 52 24 SUR;BOSA;EL PORVENIR;SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL;2011;PÚBLICO;;Centro Cultural y Artístico
1;CENTRO CULTURAL NARIÑO 2;3661085;3107681946;MUSEO40@HOTMAIL.COM;N.D;KR 24G 20 60 SUR;ANTONIO NARIÑO;RESTREPO;FUNDACIÓN MUSEOS DEL CUERO Y DE LOS AÑOS 40;2003;PRIVADO;;Centro cultural y artístico
5;CLAN USME CANTARANA;N.D;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 1A BIS 100 45 SUR;USME;COMUNEROS;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro Cultural y Artístico
5;CORPORACIÓN INSTITUTO DE CULTURA BRASIL COLOMBIA;2115511;3138628736;informacion@ibraco.org.co;http://www.ibraco.org.co/;KR 9 70A 11;CHAPINERO;CHICO LAGO;CORPORACIÓN INSTITUTO DE CULTURA BRASIL COLOMBIA;1995;PRIVADO;;Centro Cultural y Artístico
3;CORPORACIÓN CASA DE LA JUVENTUD DE KENNEDY;N.D;N.D;N.D;N.D;CL 40A 74 34 SUR;KENNEDY;KENNEDY CENTRAL;CORPORACIÓN CASA DE LA JUVENTUD DE KENNEDY;N.D;PRIVADO;;Centro cultural y artístico
3;CENTRO DE DESARROLLO COMUNITARIO COLINAS;3611410 - 3665335;311444143;gmorenoss@hotmail.com;http://www.integracionsocial.gov.co/;KR 15C 31G 40 SUR;RAFAEL URIBE URIBE;SAN JOSE;SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL;N.D;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
3;CLAN ENGATIVÁ VILLAS DEL DORADO;4310935;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 107 70 BIS 58;ENGATIVÁ;GARCES NAVAS;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro Cultural y Artístico
11;CLAN KENNEDY LA CASTILLA;4122671;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 75 8B 89;KENNEDY;CASTILLA;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
7;CASA DEL TOLIMA;2882349;N.D;patarroyo04@hotmail.com;N.D;CL 34 5 81;SANTA FE;SAGRADO CORAZON;CASA DEL TOLIMA;N.D;PÚBLICO;DEPARTAMENTAL;Centro cultural y artístico
1;CASA DE LA CULTURA ASOJUVENIL;7170786;3112156284;ASOJUVENIL@YAHOO.COM;N.D;CL 66 SUR 18U 19;CIUDAD BOLÍVAR;LUCERO;ASOCIACIÓN JUVENTUDES COMPARTIR ASOJUVENIL;2001;PRIVADO;;Centro cultural y artístico
3;CENTRO MUSICAL LISBOA;N.D;3202011782;CONSTANZABARRERO@FUNDACIONBATUTA.ORG;http://www.fundacionbatuta.org/;CL 136 154 11;SUBA;TIBABUYES;FUNDACIÓN NACIONAL BATUTA;2007;PRIVADO;;Centro Cultural y Artístico
11;CENTRO CULTURAL ISLÁMICO;3350366;N.D;N.D;N.D;CL 36 28B 10;TEUSAQUILLO;TEUSAQUILLO;CENTRO CULTURAL ISLÁMICO;N.D;PRIVADO;;Centro cultural y artístico
1;ACADEMIA LUIS A CALVO;3238400;N.D;planeac@udistrital.edu.co;http://www.udistrital.edu.co/;KR 9 52 52;CHAPINERO;CHAPINERO;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;2007;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
5;CLAN FONTIBÓN LAS FLORES;350 3181309;350 3181309;N.D;http://www.clan.gov.co/clan/territorio-clan;CL 23 G 111 16;FONTIBÓN;FONTIBON;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro Cultural y Artístico
1;PARQUE ZONAL LA AMISTAD;2645100;N.D;eligio.plazas@idrd.gov.co;http://www.idrd.gov.co/sitio/idrd/;KR 78J 41 10 SUR;KENNEDY;KENNEDY CENTRAL;INSTITUTO DISTRITAL DE RECREACIÓN Y DEPORTE -IDRD;1975;PÚBLICO;DISTRITAL;Centro cultural y artístico
6;CADE PATIO BONITO;2656003;3112799569;PARAISOCOLOMBIA@YAHOO.COM;N.D;KR 87 5B 21 SUR;KENNEDY;PATIO BONITO;PARAÍSO COLOMBIA - PUNTOS CARDINALES;1986;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
3;CENTRO CULTURAL GABRIEL MEJÍA BETANCUR;2124087 - 2124047;N.D;ypava@pedagógica.edu.co;http://www.pedagogica.mineducacion.org/;CL 73 14 53;CHAPINERO;CHICO LAGO;INMOBILIARIA CAPRI;2003;PÚBLICO;NACIONAL;Centro cultural y artístico
8;CENTRO DE DESARROLLO COMUNITARIO KENNEDY;2658252;3156936431;SANDRA.BENAV@HOTMAIL.COM;http://www.integracionsocial.gov.co/;AC 43 SUR 80 B 33;KENNEDY;GRAN BRITALIA;SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL;1980;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
3;ACADEMIA DE ARTES GUERRERO;6094792 - 6094795;N.D;contacto@academiadeartesguerrero.com;http://www.academiadeartesguerrero.com/;CL 45 18A 25;TEUSAQUILLO;TEUSAQUILLO;ACADEMIA DE ARTES GUERRERO;1988;PRIVADO;;Centro Cultural y Artístico
4;CENTRO CULTURAL MAGITINTO;N.D;N.D;N.D;N.D;KR 6 117 12;CHAPINERO;CHICO LAGO;CENTRO CULTURAL MAGITINTO;N.D;PRIVADO;;Centro cultural y artístico
3;FUNDACIÓN GILBERTO ALZATE AVENDAÑO;3431223 - 2864610;N.D;amejia@mincultura.gov.co;N.D;CL 10 3 16;CANDELARIA;LA CANDELARIA;FUNDACION GILBERTO ALZATE AVENDAÑO;1974;PÚBLICO;DISTRITAL;Centro cultural y artístico
2;UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA;6761037;3106804363;JBENAVID@UDCA.EDU.CO;http://www.udca.edu.co/;CL 222 55 37;SUBA;LA ACADEMIA;UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA;N.D;PRIVADO;;Centro Cultural y Artístico
9;CENTRO CULTURAL LLANERO;2354907;3203446942;centroculturallanero.hotmail.com;http://www.centroculturallanero.org.co/;CL 62 20 28;TEUSAQUILLO;GALERIAS;ASOCIACIÓN FOLCLORICA CENTRO CULTURAL LLANERO;1991;PRIVADO;;Centro cultural y artístico
2;CLAN ENGATIVÁ LAS FERIAS;2402433;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 68G 78 95;ENGATIVÁ;LAS FERIAS;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
1;ACADEMIA COLOMBIANA DE LA LENGUA;3341190;N.D;secretaria.academialengua@yahoo.es;http://www.academiacolombianadelalengua.co/;AK 3 17 23;SANTA FE;LAS NIEVES;ACADEMIA COLOMBIANA DE LA LENGUA - JAIME POZADA DIAZ;1971;PRIVADO;;Centro cultural y artístico
1;SALA DE CONCIERTOS DE LA FUNDACIÓN ORQUESTA SINFONICA JUVENIL FOSCJ;2322171 - 2322173;3115214988;sinfonica.juvenil@gmail.com;http://www.fotomuseo.org/;KR 16 49 52;TEUSAQUILLO;GALERIAS;FUNDACIÓN ORQUESTA SINFÓNICA JUVENIL;1980;MIXTO;;Centro cultural y artístico
1;ASOCIACIÓN HIJOS DEL SUR;N.D;N.D;asociacionhijosdelsur@gmail.com;http://asociacionhijosdelsur.blogspot.com/;CL 75A SUR 1C 29;USME;GRAN YOMASA;ASOCIACIÓN HIJOS DEL SUR;2011;PRIVADO;;Centro cultural y artístico
1;CASA NACIONAL DE LA CULTURA AFROCOLOMBIANA (CASAFRO);8003436 - 2554057;N.D;cas.afro@hotmail.es;N.D;CL 73 20A 60;BARRIOS UNIDOS;LOS ALCAZARES;CASA NACIONAL DE LA CULTURA AFROCOLOMBIANA;2006;PRIVADO;;Centro cultural y artístico
2;CENTRO DE DESARROLLO COMUNITARIO SAMORÉ;2048323;N.D;JMALDONADO@SDIS.GOV.CO;http://www.integracionsocial.gov.co/;CL 41A 31 46;RAFAEL URIBE URIBE;QUIROGA;SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL;1957;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
2;ACADEMIA SUPERIOR DE ARTES DE BOGOTA;2828220;N.D;decanatura_artes@udistrital.edu.co;http://www.udistrital.edu.co/;KR 13 14 69;SANTA FE;LAS NIEVES;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;1991;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
10;CENTRO DE DESARROLLO COMUNITARIO BELLAVISTA;4528233 EXT 103;N.D;BELLAVISTACDC@GMAIL.COM;http://www.integracionsocial.gov.co/;CL 38 SUR 94C 29;KENNEDY;PATIO BONITO;SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL;2000;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
2;CORPORACIÓN CENTRO DE PROMOCION Y CULTURA BRITALIA;450 88 87;3133161009 - 3212345812;centrodepromocionyculturaijbogota@gmail.com;N.D;KR 80I 52A 08 SUR;KENNEDY;GRAN BRITALIA;CORPORACION CENTRO DE PROMOCION Y CULTURA BRITALIA;1978;MIXTO;;Centro cultural y artístico
1;FUNDACIÓN CULTURAL CHIMINIGAGUA;7803879;N.D;coddiarcupop@gmail.com;N.D;KR 80K 72 45 SUR;BOSA;BOSA CENTRAL;COORPORACION CODDIARCUPOP;1993;PRIVADO;;Centro cultural y artístico
4;CASA DE LA CULTURA AFROCOLOMBIANA - SEDE FUNDACIÓN CULTURAL - COLOMBIA NEGRA;3367204;N.D;colombianegra@gmail.com;N.D;KR 5 26B 52;SANTA FE;LA MACARENA;CASA DE LA CULTURA AFROCOLOMBIANA - SEDE FUNDACIÓN CULTURAL - COLOMBIA NEGRA;1987;PRIVADO;;Centro cultural y artístico
3;CLAN BARRIOS UNIDOS SANTA SOFIA;2252057;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 28 77 70;BARRIOS UNIDOS;LOS ALCAZARES;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
2;ALIANZA COLOMBO FRANCESA SEDE CHICÓ;3793370;3164150676;l.galli@alianzafrancesa.org.co;http://www.alianzafrancesa.org.co/web/ciudad/bogota/inicio/principal;AK 11 93 40;CHAPINERO;EL REFUGIO;ALIANZA COLOMBO FRANCESA SEDE CHICO;2011;PRIVADO;;Centro Cultural y Artístico
8;INSTITUTO ITALIANO DE CULTURA DE BOGOTÁ;2453824 - 2454123;N.D;amministrazione.iicbogota@esteri.it  ;http://www.iicbogota.esteri.it/IIC_Bogota;CL 35 15 32;TEUSAQUILLO;TEUSAQUILLO;INSTITUTO ITALIANO DE CULTURA DE BOGOTÁ;N.D;PRIVADO;;Centro cultural y artístico
10;MUSEO TAURINO - PLAZA DE TOROS LA SANTAMARÍA;2822792;N.D;ernestoabellovillalba@yahoo.com;http://www.idrd.gov.co/sitio/idrd/;KR 6 26B 50;SANTA FE;SAGRADO CORAZON;INSTITUTO DISTRITAL DE RECREACIÓN Y DEPORTE -IDRD;1969;PÚBLICO;DISTRITAL;Centro cultural y artístico
1;CENTRO DE DESARROLLO COMUNITARIO PABLO DE TARSO;2702261 - 7411011;N.D;cdc.pablodetarso.tunjuelito@gmail.com;http://www.integracionsocial.gov.co/;DG 47A 53B 27 SUR;TUNJUELITO;VENECIA;SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL;1962;PÚBLICO;LOCAL;Centro Cultural y Artístico
7;ASOCIACION CULTURAL ADRA;2328748;3158200490;adracuerpoenmovimiento@gmail.com - info@adradanza.com;http://www.adradanza.com/;DG 42A 20 45;TEUSAQUILLO;TEUSAQUILLO;ASOCIACIÓN CULTURAL ADRA;2005;PRIVADO;;Centro cultural y artístico
6;CASA DEL HUILA;2323820;N.D;delegacionhuila@huila.gov.com;N.D;CL 35 6 13;SANTA FE;SAGRADO CORAZON;CASA DEL HUILA;N.D;PÚBLICO;DEPARTAMENTAL;Centro cultural y artístico
9;CENTRO DE DESARROLLO COMUNITARIO LAGO TIMIZA;4542329;N.D;CMEDELLIN@SDIS.GOV.CO;http://www.integracionsocial.gov.co/;KR 74 42G 52 SUR;KENNEDY;TIMIZA;SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL;N.D;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
1;CENTRO CULTURAL ASOCIACIÓN DE VECINOS GRANJA DE SAN PABLO;3611822- 2724970;30108898193;sincudesco@gmail.com;N.D;KR 12J 33 26;RAFAEL URIBE URIBE;MARCO FIDEL SUAREZ;CENTRO CULTURAL ASOCIACIÓN DE VECINOS GRANJA DE SAN PABLO;1984;PRIVADO;;Centro cultural y artístico
4;ESCUELA POPULAR NOKANCHIPA;N.D;3124978123 - 3133259767;N.D;N.D;KR 100A 41 85 SUR;KENNEDY;PATIO BONITO;ESCUELA POPULAR NOKANCHIPA;N.D;PRIVADO;;Centro cultural y artístico
10;CENTRO MUSICAL TEUSAQUILLO;N.D;N.D;N.D;http://www.fundacionbatuta.org/;KR 27A 41 49;TEUSAQUILLO;TEUSAQUILLO;FUNDACIÓN NACIONAL BATUTA;N.D;PRIVADO;;Centro Cultural y Artístico
4;CLAN BARRIOS UNIDOS POLO;6347325;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 22 84 50;BARRIOS UNIDOS;LOS ALCAZARES;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
5;CLAN SUBA CENTRO;6817755;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;Cl 146B 91 44;SUBA;SUBA;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
3;CENTRO MUSICAL SANTA BIBIANA;6021099;3182078900;BATUTASANTABIBIANA@HOTMAIL.COM;http://www.fundacionbatuta.org/;CL 106 17 17;USAQUÉN;SANTA BARBARA;FUNDACIÓN NACIONAL BATUTA;1998;MIXTO;;Centro Cultural y Artístico
5;CLAN BARRIOS UNIDOS 12 DE OCTUBRE;N.D;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 55 75 40;BARRIOS UNIDOS;DOCE DE OCTUBRE;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro Cultural y Artístico
1;FUNDACIÓN CASA DE POESÍA  SILVA;2865710;N.D;casadepoesiasilva@casadepoesiasilva.com;http://casadepoesiasilva.com/;CL 12C 3 41;CANDELARIA;LA CANDELARIA;FUNDACIÓN CASA DE POESÍA SILVA;1987;PÚBLICO;DISTRITAL;Centro cultural y artístico
5;CLAN BOSA SAN PABLO;7828261;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;CL 68 SUR 78 H 37;BOSA;BOSA CENTRAL;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro Cultural y Artístico
3;ALIANZA COLOMBO FRANCESA;3411348;N.D;N.D;http://www.alianzafrancesa.org.co/web/ciudad/bogota/inicio/principal;KR 3 18 45;SANTA FE;LAS NIEVES;ALIANZA COLOMBO FRANCESA;N.D;PRIVADO;;Centro Cultural y Artístico
1;CENTRO MUSICAL LA GAITANA;8976280;N.D;DEICYESPINOSA@FUNDACIONBATUTA.ORG;http://www.fundacionbatuta.org/;TV 126 133 32;SUBA;TIBABUYES;FUNDACIÓN NACIONAL BATUTA;1996;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
1;CENTRO DE INFORMACIÓN DOCUMENTACIÓN E INVESTIGACIÓN DE SAN CRISTÓBAL;N.D;3115589542;N.D;N.D;KR 7A 3 04 SUR;SAN CRISTÓBAL;SOSIEGO;CENTRO DE INFORMACIÓN DOCUMENTACIÓN E INVESTIGACIÓN DE SAN CRISTÓBAL;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
9;CENTRO COLOMBO AMERICANO;3347640;3156259658;cgallego@colombobogota.edu.co;http://www.colombobogota.edu.co/;CL 19 2A 49;SANTA FE;LAS NIEVES;CENTRO COLOMBO AMERICANO;1943;PRIVADO;;Centro Cultural y Artístico
8;CASA DEL VALLE;3230853;N.D;embajadacasadelvalle@valledelcauca.gov.co;http://www.valledelcauca.gov.co/casadelvalle/;CL 35 5 50;SANTA FE;SAGRADO CORAZON;GOBERNACIÓN DEL VALLE;1977;MIXTO;;Centro cultural y artístico
7;ESCUELA DE CINE BLACK MARÍA;6184719;3112574719;info@blackmaria.edu.co;http://www.blackmaria.edu.co/;KR 18 82 35;CHAPINERO;CHICO LAGO;COORPORACIÓN BLACK MARÍA;1997;PRIVADO;;Centro Cultural y Artístico
4;CENTRO MUSICAL SAN RAFAEL;6332363;3105539045;ANACAICEDO@FUNDACIONBATUTA.ORG;http://www.fundacionbatuta.org/;CL 135 52 A 55;SUBA;EL PRADO;FUNDACIÓN NACIONAL BATUTA;2009;PRIVADO;;Centro Cultural y Artístico
5;ESCUELA DE MÚSICA Y AUDIO FERNANDO SOR;3407771 - 3407772;3152409894;pilarcortes@fernandosor.edu.co;http://www.fernandosor.edu.co/;AC 26 34A 37;TEUSAQUILLO;QUINTA PAREDES;ESCUELA DE MÚSICA FERNANDO SOR S.A.S;1991;PRIVADO;;Centro Cultural y Artístico
13;ASOCIACION CRISTIANA DE JOVENES;2325269;N.D;gloriacifu@hotmail.com;http://www.ymcabogota.org/ymca.htm;KR 16 28B 33;TEUSAQUILLO;TEUSAQUILLO;ASOCIACIÓN CRISTIANA DE JOVENES;1964;PRIVADO;;Centro Cultural y Artístico
4;CLAN BOSA NARANJOS;7761551;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;CL 70A 80I 15 SUR;BOSA;BOSA CENTRAL;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
2;CENTRO DE EXPRESIÓN CULTURAL FE Y ALEGRIA;7610679 - 2001102;N.D;N.D;http://www.feyalegria.org/es;KR 1 ESTE 75 26 SUR;USME;GRAN YOMASA;FE Y ALEGRÍA DE COLOMBIA;1987;PRIVADO;;Centro cultural y artístico
7;CLAN CIUDAD BOLÍVAR LUCERO BAJO;7924708;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 17D BIS 64A 54 SUR;CIUDAD BOLÍVAR;LUCERO;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
